OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,18,5081.24,11,0.2,美的 智能门锁 Mini,5个/套
1,59,5605.53,10,0.05,西门子 智能摄像头 Max,1个/盒
1,74,2353.42,19,0.1,松下 智能窗帘 Lite,2个/包
1,88,4431.24,20,0.05,格力 智能体重秤 Ultra,1台/箱
2,23,8334.16,14,0.15,美的 智能净水器 Plus,1台/箱
2,51,886.12,18,0.05,苹果 智能开关 Basic,1个/盒
3,14,8626.45,18,0.05,格力 智能净水器 Mini,1套/箱
3,28,241.6,13,0.15,飞利浦 智能扫地机器人 Plus,1套/箱
3,50,10312.91,1,0.0,苹果 智能空气净化器 Basic,3个/套
3,63,9489.11,11,0.05,LG 智能净水器 Basic,2个/包
4,28,222.89,18,0.05,飞利浦 智能扫地机器人 Plus,1套/箱
4,31,1381.31,16,0.15,三星 智能加湿器 Mini,1台/箱
4,71,6569.94,14,0.05,索尼 智能冰箱 Elite,3个/套
5,8,8819.37,17,0.1,松下 智能开关 Lite,5个/套
5,56,264.25,18,0.1,华为 智能体重秤 Advanced,5个/套
5,82,6819.74,2,0.05,LG 智能开关 Lite,1套/箱
5,95,7987.13,7,0.2,格力 智能音箱 Advanced,3个/套
6,63,8957.22,11,0.2,LG 智能净水器 Basic,2个/包
7,35,3233.01,4,0.05,亚马逊 智能门铃 Max,1个/盒
8,41,9422.18,11,0.0,索尼 智能空气净化器 Ultra,5个/套
8,47,2429.45,6,0.15,苹果 智能灯具 Basic,1个/盒
8,53,3078.19,12,0.0,华为 智能电视 Lite,1个/盒
9,91,3046.2,6,0.0,亚马逊 智能音箱 Basic,1个/盒
10,15,5970.15,19,0.1,谷歌 智能音箱 Elite,1台/箱
10,45,7453.29,9,0.15,博世 智能马桶 Max,1套/箱
10,53,3042.99,11,0.05,华为 智能电视 Lite,1个/盒
10,89,9145.09,12,0.1,博世 智能空调 Lite,1个/盒
10,95,8194.78,9,0.0,格力 智能音箱 Advanced,3个/套
11,79,10242.37,18,0.2,格力 智能手环 Lite,1台/件
12,61,772.05,14,0.15,LG 智能洗衣机 Max,1台/箱
12,69,3988.62,17,0.2,谷歌 智能洗衣机 Elite,3个/套
13,6,5444.16,5,0.15,海尔智慧家庭 智能空气净化器 Basic,1个/件
14,3,8474.81,11,0.1,华为 智能电视 Basic,1台/件
14,71,6079.56,19,0.15,索尼 智能冰箱 Elite,3个/套
14,95,8624.61,18,0.0,格力 智能音箱 Advanced,3个/套
15,7,1068.11,3,0.15,博世 智能扫地机器人 Max,1台/箱
15,47,2298.3,14,0.0,苹果 智能灯具 Basic,1个/盒
